Ticker,Name,Exchange,categoryName
TPSL.CO,Cemat A/S,CPH,
W81.SI,Universal Resource And Services Limited,SES,
VPB.SW,VPB.SW,EBS,
ALB.L,Albert Technologies Ltd.,LSE,
OMED1.BA,,,
ACUG,A & C United Agriculture Developing Inc.,PNK,
PGSFUT.OL,Petroleum Geo-Services ASA,OSL,
CSEI,"PwrCor, Inc.",PNK,
A3N1.BE,,,
SMNPF,Americas Silver Corporation,PNK,
AMPLQ,Ampal-American Israel Corp.,PNK,
LMB.AX,Hexagon Resources Limited,ASX,
AYOE.SG,,,
ASC.V,Clean Commodities Corp.,VAN,
TAXA358.SA,FINANC/TERMO,SAO,
NRG.TO,Alter NRG Corp.,TOR,
AFRS,"American First Financial, Inc.",PNK,Mortgage Investment
KUIRF,Kuoni Reisen Holding AG,PNK,
KRA.AX,BuyMyPlace.com.au Limited,ASX,
CAS,A.M. Castle & Co.,NYQ,
UBRA.DE,UBS Group AG,GER,
EGY.AX,Energy Technologies Limited,ASX,Diversified Machinery
USAE,"U.S. Aerospace, Inc.",PNK,Aerospace/Defense Products & Services
A0BDRX.SG,,,
ABAT,"Advanced Battery Technologies, Inc.",PNK,
RGX.AX,MCS Services Limited,ASX,
AKVA,Arkanova Energy Corporation,PNK,Oil & Gas Drilling & Exploration
PL4.BE,PIEDMONT LITHIUM,BER,
ADEP,Adept Technology Inc.,NCM,
APE.MI,Alba S.p.A.,MIL,
ADRL.OL,,,
AQPTY,Aquarius Platinum Limited,PNK,
CHOP,China Gerui Advanced Materials Group Ltd.,NMS,
RYMM,Royal Mines and Minerals Corp,PNK,Industrial Metals & Minerals
SAREB.MX,"Sare Holding, S.A.B. de C.V.",MEX,Residential Construction
SMLNF,Solar Millennium AG,PNK,
TI8.BE,"ALTUR INVESTISSEM.EO 2,50",BER,
AAUKY,Anglo American plc,PNK,
GJT.AX,Galileo Japan Trust,ASX,
VBPS.VI,VBPS.VI,VIE,
AAX.AX,Ausenco Limited,ASX,
WATKF,WS Atkins plc,PNK,
AVZ.V,Avala Resources Ltd.,VAN,
BE04.VI,RCB OE TL.Z./Flughafen Wien,VIE,
AFY.V,Anthem United Inc.,VAN,
LOEEF,Loewe AG,PNK,
FNTCU,FNTCU,NMS,
PPN.AX,PPN.AX,ASX,
AAP-P.V,AAP-P.V,VAN,
MWOG,Midwest Oil & Gas Inc.,PNK,Industrial Metals & Minerals
ANTB,"Rezolute, Inc.",PNK,Biotechnology
PHM7.DE,"Altria Group, Inc.",GER,"Tobacco Products, Other"
ARN.V,Arcan Resources Ltd.,VAN,
ATWT,"ATWEC Technologies, Inc.",PNK,
AIX.V,Infinite Lithium Corp.,VAN,Industrial Metals & Minerals
0MK6.L,CAISSE REGIONALE DE CREDIT AGRI,LSE,
SAUD.L,Steel Authority of India Limited,LSE,Steel & Iron
TOMI,"Texas Oil and Minerals, Inc.",PNK,
COR.EX,,,
AAPF.EX,,,
A0BDRX.HM,,,
STB.AX,,,
ARM.BE,"ARM HLDGS PLC LS-,0005",BER,
MQF.F,Avocet Mining plc,FRA,
NMG.OL,,,
AXIO,Axiom Oil and Gas Corp.,PNK,Industrial Metals & Minerals
AXIH,"Axion International Holdings, Inc.",PNK,
AL7LH.NX,AL7LH.NX,ENX,
AQR.AX,Aeon Metals Limited,ASX,
AZUR,"Azure Midstream Partners, LP",PNK,
AFA.MU,"ARRIS INTL PLC DL -,01",MUN,
ARDWF,Captiva Verde Industries Ltd.,PNK,
KBLI.JK,PT KMI Wire and Cable Tbk,JKT,
ORS.AX,Octagonal Resources Limited,ASX,
HMB.ST,H & M Hennes & Mauritz AB (publ),STO,
SLT.AX,,,
ADES.L,ADES International Holding Ltd.,LSE,
CMGE,China Mobile Games and Entertainment Group Limited,NGM,
ASTI,"Ascent Solar Technologies, Inc.",PNK,Semiconductor - Specialized
PFAIF,PACIFIC ANDES INTL HKD0.10,PNK,
APH.V,Aphria Inc.,,
AGIN-M.TA,,,
PB610.SW,Pfandbriefbank schweizerischer Hypothekarinstitute AG,EBS,
OXXCB.AX,Octanex N.L.,ASX,
VEIFF,Ackroo Inc.,PNK,
PXG.AX,Phoenix Gold Limited,ASX,
BGOMF,Unity Mining Limited,PNK,
MBD.AX,MBD Corporation Limited,ASX,
CRLN,Carolina Alliance Bank,PNK,
COCA34F.SA,The Coca-Cola Company,SAO,
ASTV,"As Seen On TV, Inc.",PNK,
MN17.VI,RCB Disc.Z./K&S 17-19,VIE,
WFD.AX,Westfield Corporation,ASX,Property Management
VPK5.SG,Koninklijke Vopak N.V. Aandelen,STU,
NDAF.EX,,,
CP65.VI,EB OE TL.Z./CONTINENTAL,VIE,
ALORO.PA,Orolia SA,PAR,
DAQ-UN.TO,,,
TPAC,"Trans-Pacific Aerospace Company, Inc.",PNK,Aerospace/Defense Products & Services
ADHLY,Applied Development Holdings Limited,PNK,
AKZO.HM,,,
AT0000A1JW15.VI,"EB4\,5%ESTOXX50Prot16-20",VIE,
AVRW,"Aventine Renewable Energy Holdings, Inc",PNK,
ANRCF,Altona Energy Plc,PNK,
ATCOA.ST,Atlas Copco AB,STO,
9ME.F,Alterra Power Corp.,,
PGL.AX,TBG Diagnostics Limited,ASX,
AQQSQ,American Spectrum Realty Inc.,PNK,
AMRD,"American Riding Tours, Inc",OBB,
APP,"American Apparel, Inc.",ASE,
ALAWP,Alabama Power Co.,PNK,
ELA-UN.TO,,,
AWON,"A1 Group, Inc.",PNK,
ACTL,"Artec Global Media, Inc.",PNK,Marketing Services
APV.V,Apivio Systems Inc.,VAN,
ASFBY,ASFBY,PNK,
ADI.V,Adriana Resources Inc.,VAN,
ABKI,Abakan Inc.,PNK,Industrial Equipment & Components
DOLP.OL,Dolphin Group ASA,OSL,
TPI.AX,Cleanaway Waste Management Limited,ASX,
SAS.TO,St Andrew Goldfields Ltd.,TOR,
NXI.DE,Activa Resources AG,GER,
ADNC,"Audience, Inc.",NMS,
NORT6.BA,Nortel Inversora S.A.,BUE,Wireless Communications
UBK.HM,UMWELTBANK AG O.N.,HAM,
AVT.V,Alloycorp Mining Inc.,VAN,
SOO.AX,Go Energy Group Limited,ASX,
GGACU,Garnero Group Acquisition Company,NCM,
ATVYF,ACTIVEnergy Income Fund,PNK,
AUV.V,Automotive Finco Corp.,VAN,
ARO.BE,ARCANDOR AG O.N.,BER,Department Stores
WVL.AX,Titanium Sands Limited,ASX,
PSZKF,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,PNK,
ALIV.ST,ALIV.ST,STO,
ADAT,AEON Global Health Corp.,PNK,Healthcare Information Services
BGLEP,Baltimore Gas and Electric Company,PNK,
AXMM,Axiom Corp.,PNK,Technical Services
ANFGY,Antofagasta plc,PNK,
TRZ-B.TO,"Transat AT, Inc.",TOR,
BGLEN,Baltimore Gas and Electric Company,PNK,
BGLEI,Baltimore Gas and Electric Company,PNK,
BGLEH,Baltimore Gas and Electric Company,PNK,
APGI,American Power Group Corporation,PNK,
ASMI,ASM International NV,NMS,
ALVRQ,Alvarion Ltd.,PNK,
ARXG,Aurora Gold Corporation,PNK,
CAGZ,Cullen Agricultural Holding Corp.,OBB,
ARRMF,A.C.N. 004 410 833 Limited,PNK,
AH35H.NX,AH35H.NX,ENX,
RY4A.HM,,,
BAKO55AKKKL.CO,BankInvest Optima 55 Akk. KL,CPH,
STRS.ST,Papilly AB (publ),,
AJGH,Sino United Worldwide Consolidated Ltd.,PNK,
NSGFUT.OL,,,
GTATQ,GT Advanced Technologies Inc.,PNK,
GDWNF,GONDWANA RESOURCES NPV,PNK,
CBAI,"Cord Blood America, Inc.",PNK,Medical Laboratories & Research
NOVE.ST,Strax AB (publ),STO,
AMIB,"Microlin Bio, Inc.",OBB,
LEAS,Strategic Asset Leasing Inc.,PNK,
APHD,Appiphany Technologies Holdings Corp.,PNK,Application Software
ALGN,"Align Technology, Inc.",NMS,Medical Appliances & Equipment
S5001C1705A.BK,CW ON SET50 OF BLS # A,SET,
ABY.AX,Aditya Birla Minerals Limited,ASX,
FOGL.L,Falkland Oil and Gas Ltd.,LSE,
ATL,Atlatsa Resources Corporation,PNK,
A99KZ.NX,A99KZ.NX,ENX,
GA06.QA,The State of Qatar,DOH,
AVON34F.SA,Avon Products Inc.,SAO,
AST.V,Black Dragon Gold Corp.,VAN,
NSP-B.ST,Nordic Service Partners Holding AB,STO,
TRUDP.ME,TRUDP.ME,,
MXOM,Pan American Goldfields Ltd,PNK,
PCD.AX,,,
ADPAK,ADELPHIA RECOVERY,PNK,
AREN,PetroGas Company,PNK,
ACE.L,Auhua Clean Energy Plc,LSE,
LK41.VI,RCB Disc.Z./Hugo Boss 17-18,VIE,
Q-A.V,Questfire Energy Corp.,VAN,
SSN.AX,Samson Oil & Gas Limited,ASX,Independent Oil & Gas
A78.SI,LionGold Corp Ltd,SES,Waste Management
UXC.AX,UXC Limited,ASX,
ATOC,"Atomic Paintball, Inc.",PNK,Sporting Activities
ODDJ,Simply Amazing LLC,PNK,
BULTEN.ST,Bulten AB (publ),STO,
GRYEF,"AU Min Africa PTY, LTD.",PNK,
ACHN.MX,Aluminum Corporation Of China Limited,MEX,Aluminum
ANCKF,Anfield Gold Corp.,PNK,
EVTCY,Evotec AG,PNK,
AML.V,ePower Metals Inc.,VAN,Industrial Metals & Minerals
CKALF,COKAL LIMITED,PNK,
SBU.AX,Siburan Resources Limited,ASX,Gold
TWM.V,Tidewater Midstream and Infrastructure Ltd.,VAN,
APSSTAR-B.BO,APSSTAR-B.BO,,
SCI.OL,Incus Investor ASA,OSL,
KPL.AX,Kina Petroleum Limited,ASX,Independent Oil & Gas
AESAY,AES Tietê S.A.,PNK,
AML.L,Amlin plc,LSE,
PMXRF,Fantasy Aces Daily Fantasy Sports Corp.,PNK,
CEAI,"China Education Alliance, Inc.",PNK,
LCY.AX,Legacy Iron Ore Limited,ASX,Industrial Metals & Minerals
MLYAF,Malaysian Airline System Bhd,PNK,
TAMO,Tamm Oil and Gas Corp.,PNK,
AMLSTEEL-BE.NS,AMLSTEEL-BE.NS,NSI,
RDAFTIIIDG-MF.NS,RELIANCE MUTUAL FD DUAL ADVANTA,NSI,
ELDO,Eldorado Artesian Springs Inc.,PNK,
PAY.AX,Payce Consolidated Ltd.,ASX,
PRDCD,Alternative Investment Corporation,PNK,
AHII,American Heritage International Inc.,PNK,Cigarettes
AP.MI,,,
3DM.AX,Mach7 Technologies Limited,ASX,
CADT,DT Asia Investments Limited,NCM,
0HI7.IL,MEVIS MEDICAL SOLUTIONS AG MEVI,IOB,
B8F.L,Biofrontera AG,LSE,
XCA.DE,Credit Agricole S.A.,GER,Money Center Banks
NORDK.ST,House of Friends AB (publ),,
AOIL,"Armada Oil, Inc.",OBB,
AMIEQ,Ambassadors International Inc.,PNK,
BTFL,"Monarch America, Inc.",PNK,Conglomerates
KASBF,Kasbah Resources Limited,PNK,
PWX,Providence and Worcester Railroad Company,NGM,
AAU.V,AndeanGold Ltd.,VAN,
RIS.AX,Richfield International Limited,ASX,
MTN.AX,Leigh Creek Energy Limited,ASX,
SGZ.AX,Scotgold Resources Limited,ASX,
ETPHF,AgriMinco Corp.,PNK,
AZFL,"Amazonas Florestal, Ltd",PNK,
AAC.V,Arak Resources Ltd.,VAN,
AHBRF,Alhambra Resources Ltd.,PNK,
AZGS,Aztec Oil & Gas Inc.,PNK,
AOMD.DE,Alstom SA,GER,Diversified Machinery
AKSY,Aksys Ltd.,PNK,
UML.AX,Unity Mining Limited,ASX,
TORM.CO,TORM A/S,,
AUTCF,Fincera Inc.,PNK,Auto Dealerships
BFP.BE,BBVA BCO FR. AP 1 ADR/3,BER,
CRX.AX,Crestal Petroleum Limited,ASX,
PNE.AX,Arkoma Energy Limited,ASX,
RUM.AX,Verdant Minerals Ltd,ASX,
7KT.DE,KTG Agrar SE,GER,
STNT.PA,STENTYS S.A.,PAR,Medical Appliances & Equipment
PRON.SW,,,
ASX.V,Elysee Development Corp.,VAN,
PLO.HM,PLDT INC. SP. ADRS/1 PP 5,HAM,
ELM.SG,Elcora Advanced Materials CorpR,STU,
NPR-UN.TO,NPR-UN.TO,TOR,
BGMO,Bergamo Acquisition Corp.,PNK,
ACIIQ,Arch Coal Inc.,PNK,
IER1.DU,"ACTUA CORP. DL-,001",DUS,
JPASSOCIA.NS,Jaiprakash Associates Limited,,
IMMA,Stop Sleep Go Inc.,PNK,
IPLRF,Indophil Resources NL,PNK,
ACC.TO,Amica Mature Lifestyles Inc.,TOR,
BAMXY,Bayerische Motoren Werke Aktiengesellschaft,PNK,
RCU.AX,Ante Real Estate Trust,ASX,
YU4.F,YU4.F,FRA,
WAI.V,WAI Capital Investments Corp.,VAN,
TRZ-A.TO,"Transat AT, Inc.",TOR,
MEDA-A.ST,Meda AB,STO,
WJA-A.TO,WestJet Airlines Ltd.,TOR,
ATCG.EX,,,
BQAZF,BANK AUDI SAL,PNK,
7TE.SG,,,
GROLF,Petrotarg AB (publ),PNK,
KWA.V,Mainstreet Health Investments Inc.,VAN,
GNHRF,Arian Resources Corp.,PNK,
ANDHRABANK6.BO,ANDHRABANK6.BO,,
XPC.BE,AUSTPAC RES. NL,BER,
SOUL,"Soul and Vibe Interactive, Inc.",PNK,Multimedia & Graphics Software
OPCO.ST,Trention AB (publ),STO,
AKDS,"Solbright Group, Inc.",PNK,Semiconductor - Specialized
A02.SI,SUTL Enterprise Limited,SES,
ASCK,Auscrete Corporation,PNK,Residential Construction
CFIFALCGLB.SN,Falcon ADM General De Fondos SA - Fondo De Inversion Falcom Global Strategy Fund,SGO,
TOTRF,"Toyo Tire & Rubber Co., Ltd.",PNK,
ITKG.EX,,,
AAGN.DE,NTT Com Security AG,GER,
QIHUN.MX,Qihoo 360 Technology Co. Ltd.,MEX,
INH.F,INDUS Holding AG,FRA,General Building Materials
AGIS.ST,Agellis Group AB,STO,
AVXT,AVAX Technologies Inc.,PNK,
AZNDF,ASTRAZENECA SWEDEN DEF PTY,PNK,
A1DA.F,Lions Gate Metals Inc.,,
AXISBANK-IL.NS,AXIS BANK INR2,NSI,
PRA.AX,Thred Limited,ASX,
2AN.SG,Alternate Health Corp. Register,STU,
CW3.F,CW3.F,,
XGRA9.BA,,,
NF04.VI,RCB Disc.Z./VIG 18-19,VIE,
ZYL.AX,ZYL.AX,ASX,
RRS.AX,Range Resources Limited,ASX,
SWR.AX,Yojee Limited,ASX,
SY1.VI,Symrise AG,VIE,
PHA.PA,Pharmagest Interactive SA,PAR,Technical & System Software
AMBTQ,Ambient Corporation,PNK,
VEND-B.ST,hubbr AB (publ),,
DXOM2.BA,,,
AQR-P.V,Anquiro Ventures Ltd.,VAN,
ACCKF,Amica Mature Lifestyles Inc.,PNK,
ZMG.AX,Zingmobile Group Limited,ASX,
DP4B.F,A.P. Møller - Mærsk A/S,FRA,
AHS7H.NX,AHS7H.NX,ENX,
CIG.BE,"CASH AMER. INTL DL-,10",BER,
ILH.AX,WAKENBY LTD,ASX,
AE-A.V,"Anterra Energy, Inc.",VAN,
ALME,Alamo Energy Corp.,PNK,Business Services
ALMG,Alamogordo Financial Corp.,OBB,
ANAS,"Alternaturals, Inc.",PNK,
WOIIF,Abilene Oil and Gas Limited,PNK,
SBGGF,Consolidated Growth Holdings Limited,PNK,
CGFAY,CONTL COAL LTD SPONS ADR EA REP,PNK,
AHIT,"Corix Bioscience, Inc.",PNK,
ANAD,"Anadigics, Inc.",NCM,
ARS.V,Asiamet Resources Limited,VAN,
AUZ-UN.TO,,,
AZK.AX,Aziana Limited,ASX,
ALU.PA,Alcatel-Lucent,PAR,
5H5A.SG,HBM Healthcare Investments AG N,STU,
AMZGQ,American Eagle Energy Corporation,PNK,
ABDNF,Aberdeen Asset Management PLC,PNK,
AUMAU,AR Capital Acquisition Corp.,NCM,
0Q3Y.L,KRUK Spólka Akcyjna,LSE,
AFTEK.NS,Aftek Limited,NSI,
0JK4.L,TAG Immobilien AG,LSE,
STAR.ST,Starbreeze AB (publ),,
CNSO,"MYnd Analytics, Inc.",PNK,
CT1.SI,Avi-Tech Electronics Limited,SES,
SRAQU,Silver Run Acquisition,NMS,
AU000000KZA9.SG,Kazia Therapeutics Ltd. Registe,STU,
AEGR,"Aegerion Pharmaceuticals, Inc.",NMS,
DEUPF,DEUPF,PNK,
TTN.AX,Titan Energy Services Limited,ASX,
ATNAQ,ATNA Resources Ltd.,PNK,
JCHAC.NS,Johnson Controls - Hitachi Air Conditioning India Limited,NSI,Electronic Equipment
PDXE.ST,Sensori AB,,
YARFUT.OL,,,
CTT.AX,The Food Revolution Group Limited,ASX,
TWH.AX,"TW Holdings Limited, Prior to Reverse Merger with AusCann Group Holdings Ltd",ASX,
AFFW,Affinity Mediaworks Corp,OBB,
AGE.V,"Adventure Gold, Inc.",VAN,
IPLO,"YBCC, Inc.",PNK,
AGM.L,Applied Graphene Materials plc,LSE,Specialty Chemicals
CBU.TO,First Asset CanBanc Split Corp.,TOR,
AFFM,Affirmative Insurance Holdings Inc.,PNK,
LNR.AX,Lonestar Resources Limited,ASX,
AIOAF,Sarossa Plc,PNK,
AOZ8H.NX,AOZ8H.NX,ENX,
AOA.MU,,,
RXHKF,RHI AG,PNK,
7054@OM.KL,,,
ADVS,"Advent Software, Inc.",NMS,
501036.SS,CHINA UNIVERSAL AS,SHH,
ALLG-B.ST,Allgon AB (publ),STO,
QUSA,"Questar Assessment, Inc.",PNK,
ALTI,"Altair Nanotechnologies, Inc.",PNK,
SHE.AX,Protean Wave Energy Ltd,ASX,
BENE.VI,BENE.VI,VIE,
4BD.SG,Hunter Group ASA,STU,
0036@OM.KL,,,
WCN.AX,White Cliff Minerals Limited,ASX,Gold
ANR,"Alpha Natural Resources, Inc.",NYQ,
ACNV,"Accelera Innovations, Inc",PNK,
ALTV,"Alteva, Inc.",ASE,
UASB,United American Savings Bank,OBB,
AA-P,Arconic Inc.,ASE,
DNSKY,Danske Bank A/S,PNK,
ABCE,"ABCO Energy, Inc.",PNK,Semiconductor - Specialized
AM.TO,Automodular Corp.,TOR,
APHDD,Appiphany Technologies Holdings Corp.,PNK,
AAI.AX,Alcoa Inc.,ASX,
IQPOF,iQ Power Licensing AG,PNK,
ATLCF,Atlas Copco AB,PNK,
FDC.AX,Vicinity Centres,ASX,
GEEK,"Internet America, Inc.",PNK,
HLMNF,Holmen Aktiebolag (publ),PNK,
MABA,"American Biogenetic Sciences, Inc.",PNK,
AM2JH.NX,AM2JH.NX,ENX,
GRO,Agria Corporation,NYQ,
AFS-H.V,Afrasia Mineral Fields Inc.,VAN,
MT.PA,MT.PA,PAR,
YOU-UN.TO,Yield Advantage Income Trust,TOR,
AB9.DU,ABO Wind AG,DUS,
PWRDN.MX,,,
ORXOF,Orexo AB (publ),PNK,
TKMAF,TELEKOM AUSTRIA AG NPV(BR),PNK,
ARC.V,Arian Resources Corp.,VAN,
AAS.SG,"Airgas, Inc.",STU,
AQPVF,Aqua-Pure Ventures Inc.,PNK,
MOU.AX,LiveTiles Limited,ASX,
UVBIF,"Universal Biosensors, Inc.",PNK,
ARMH,ARM Holdings plc,NMS,
UV7.HM,NOVITA HEALTHCARE,HAM,
AGQ.V,Arian Silver Corporation,VAN,
ENRO-PREF.ST,Eniro AB (publ),STO,
TRAP.L,,,
IPLD.IL,,,
ODN.V,Lumina Gold Corp.,VAN,
APIGF,API Group plc,PNK,
AXI.V,Advanced Explorations Inc.,VAN,
ABT.L,Abbott Laboratories,LSE,
ENU.AX,Alto Metals Limited,ASX,
EXAD,"Experience Art and Design, Inc.",PNK,Photographic Equipment & Supplies
ZERO,"QS Energy, Inc.",PNK,
LNNNF,LEONI AG,PNK,
WELSPSY.BO,AYM Syntex Limited,BSE,
AE5YH.NX,AE5YH.NX,ENX,
AAPL34F.SA,Apple Inc.,SAO,
BBRY.BA,BlackBerry Limited,BUE,
ALE.V,YDreams Global Interactive Technologies Inc,VAN,
DANTH.CO,Dansk Industri Invest A/S,CPH,
ALFIG.PA,Figeac-Aero Société Anonyme,ENX,
AXBSF,Axios Mobile Assets Corp.,PNK,
ARVSF,Aurvista Gold Corporation,PNK,
PMOX.DE,DO Deutsche Office AG,GER,
7AS.F,ARDILLA SEGUR GS 2029,FRA,
PRA.DE,Praktiker AG,GER,
0RCS.IL,ALPHA BANK SA ALPHA BANK ORD SH,IOB,
ARCP,"VEREIT, Inc.",NMS,
CNPAL.PA,CNP Assurances SA,PAR,
ETF,"Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc.",ASE,
ARCS,Arcis Resources Corporation,PNK,Waste Management
PKBAF,PT Bakrie & Brothers Tbk,PNK,
ACRFY,Accor S.A.,PNK,
AD3.MU,,,
AVTCQ,"AVT, Inc.",PNK,
AXANF,Axia NetMedia Corporation,PNK,
PWB-PB.TO,,,
AGBRE,"AgriVest Americas, Inc",PNK,
AVA.V,Maple Gold Mines Ltd.,VAN,Gold
TLSN.ST,Telia Company AB,STO,
GAI,Global-Tech Advanced Innovations Inc.,NGM,
EGP.AX,The Star Entertainment Group Limited,ASX,
ASHOKLEY6.BO,ASHOKLEY6.BO,,
V7I.SG,,,
AVTC,"AVT, Inc.",PNK,
KMBNY,Komercni Banka AS,PNK,
AVTO,"Avantogen Oncology, Inc.",PNK,
AXLX,"Axiologix, Inc.",PNK,Multimedia & Graphics Software
AVTH,"AV Therapeutics, Inc.",PNK,
WDS.AX,WDS Limited,ASX,
